Sr. No,Circuit Type,Circuit name,No. of transistors,No. of n-type transistor,No. of p-type transistor,Lg, W,D,Input Output Delay
1,Basic gates,OR Gate,6,3,3,2.00E-08,1.00E-07,9.00E-10,1.61E-11
2,Basic gates,OR Gate,6,3,3,2.00E-08,2.00E-07,9.00E-10,2.65E-11
3,Basic gates,OR Gate,6,3,3,2.00E-08,3.00E-07,9.00E-10,3.55E-11
4,Basic gates,OR Gate,6,3,3,2.00E-08,4.00E-07,9.00E-10,4.37E-11
5,Basic gates,OR Gate,6,3,3,2.00E-08,5.00E-07,9.00E-10,5.13E-11
6,Basic gates,OR Gate,6,3,3,2.00E-08,6.00E-07,9.00E-10,5.80E-11
7,Basic gates,OR Gate,6,3,3,2.00E-08,7.00E-07,9.00E-10,6.46E-11
8,Basic gates,OR Gate,6,3,3,2.00E-08,8.00E-07,9.00E-10,7.07E-11
9,Basic gates,OR Gate,6,3,3,2.00E-08,9.00E-07,9.00E-10,7.67E-11
10,Basic gates,OR Gate,6,3,3,2.00E-08,1.00E-06,9.00E-10,8.25E-11
11,Basic gates,OR Gate,6,3,3,2.00E-08,1.00E-07,1.00E-09,1.24E-11
12,Basic gates,OR Gate,6,3,3,2.00E-08,2.00E-07,1.00E-09,2.13E-11
13,Basic gates,OR Gate,6,3,3,2.00E-08,3.00E-07,1.00E-09,2.91E-11
14,Basic gates,OR Gate,6,3,3,2.00E-08,4.00E-07,1.00E-09,3.62E-11
15,Basic gates,OR Gate,6,3,3,2.00E-08,5.00E-07,1.00E-09,4.27E-11
16,Basic gates,OR Gate,6,3,3,2.00E-08,6.00E-07,1.00E-09,4.90E-11
17,Basic gates,OR Gate,6,3,3,2.00E-08,7.00E-07,1.00E-09,5.50E-11
18,Basic gates,OR Gate,6,3,3,2.00E-08,8.00E-07,1.00E-09,6.04E-11
19,Basic gates,OR Gate,6,3,3,2.00E-08,9.00E-07,1.00E-09,6.58E-11
20,Basic gates,OR Gate,6,3,3,2.00E-08,1.00E-06,1.00E-09,7.08E-11
21,Basic gates,OR Gate,6,3,3,2.00E-08,1.00E-07,1.10E-09,9.76E-12
22,Basic gates,OR Gate,6,3,3,2.00E-08,2.00E-07,1.10E-09,1.78E-11
23,Basic gates,OR Gate,6,3,3,2.00E-08,3.00E-07,1.10E-09,2.47E-11
24,Basic gates,OR Gate,6,3,3,2.00E-08,4.00E-07,1.10E-09,3.08E-11
25,Basic gates,OR Gate,6,3,3,2.00E-08,5.00E-07,1.10E-09,3.67E-11
26,Basic gates,OR Gate,6,3,3,2.00E-08,6.00E-07,1.10E-09,4.23E-11
27,Basic gates,OR Gate,6,3,3,2.00E-08,7.00E-07,1.10E-09,4.76E-11
28,Basic gates,OR Gate,6,3,3,2.00E-08,8.00E-07,1.10E-09,5.28E-11
29,Basic gates,OR Gate,6,3,3,2.00E-08,9.00E-07,1.10E-09,5.77E-11
30,Basic gates,OR Gate,6,3,3,2.00E-08,1.00E-06,1.10E-09,6.24E-11
31,Basic gates,OR Gate,6,3,3,2.00E-08,1.00E-07,1.20E-09,7.72E-12
32,Basic gates,OR Gate,6,3,3,2.00E-08,2.00E-07,1.20E-09,1.50E-11
33,Basic gates,OR Gate,6,3,3,2.00E-08,3.00E-07,1.20E-09,2.12E-11
34,Basic gates,OR Gate,6,3,3,2.00E-08,4.00E-07,1.20E-09,2.68E-11
35,Basic gates,OR Gate,6,3,3,2.00E-08,5.00E-07,1.20E-09,3.21E-11
36,Basic gates,OR Gate,6,3,3,2.00E-08,6.00E-07,1.20E-09,3.71E-11
37,Basic gates,OR Gate,6,3,3,2.00E-08,7.00E-07,1.20E-09,4.20E-11
38,Basic gates,OR Gate,6,3,3,2.00E-08,8.00E-07,1.20E-09,4.67E-11
39,Basic gates,OR Gate,6,3,3,2.00E-08,9.00E-07,1.20E-09,5.12E-11
40,Basic gates,OR Gate,6,3,3,2.00E-08,1.00E-06,1.20E-09,5.57E-11
41,Basic gates,OR Gate,6,3,3,2.00E-08,1.00E-07,1.30E-09,5.83E-12
42,Basic gates,OR Gate,6,3,3,2.00E-08,2.00E-07,1.30E-09,1.26E-11
43,Basic gates,OR Gate,6,3,3,2.00E-08,3.00E-07,1.30E-09,1.83E-11
44,Basic gates,OR Gate,6,3,3,2.00E-08,4.00E-07,1.30E-09,2.35E-11
45,Basic gates,OR Gate,6,3,3,2.00E-08,5.00E-07,1.30E-09,2.85E-11
46,Basic gates,OR Gate,6,3,3,2.00E-08,6.00E-07,1.30E-09,3.31E-11
47,Basic gates,OR Gate,6,3,3,2.00E-08,7.00E-07,1.30E-09,3.75E-11
48,Basic gates,OR Gate,6,3,3,2.00E-08,8.00E-07,1.30E-09,4.18E-11
49,Basic gates,OR Gate,6,3,3,2.00E-08,9.00E-07,1.30E-09,4.60E-11
50,Basic gates,OR Gate,6,3,3,2.00E-08,1.00E-06,1.30E-09,5.01E-11
51,Basic gates,OR Gate,6,3,3,2.00E-08,1.00E-07,1.40E-09,4.09E-12
52,Basic gates,OR Gate,6,3,3,2.00E-08,2.00E-07,1.40E-09,1.05E-11
53,Basic gates,OR Gate,6,3,3,2.00E-08,3.00E-07,1.40E-09,1.60E-11
